1790182353.946 事件到画完 样本2097 无需重画4 p50=18.37ms p90=30.58ms p99=39.11ms max=44.02ms
1790182363.967 事件到画完 样本2122 无需重画4 p50=18.28ms p90=30.54ms p99=39.10ms max=44.02ms
1790182374.016 事件到画完 样本2149 无需重画4 p50=18.26ms p90=30.51ms p99=39.10ms max=44.02ms
1790182384.033 事件到画完 样本2172 无需重画4 p50=18.29ms p90=30.51ms p99=39.09ms max=44.02ms
1790182394.045 事件到画完 样本2199 无需重画4 p50=18.27ms p90=30.55ms p99=39.10ms max=44.02ms
1790182404.061 事件到画完 样本2225 无需重画4 p50=18.27ms p90=30.56ms p99=39.10ms max=44.02ms
1790182414.063 事件到画完 样本2250 无需重画4 p50=18.28ms p90=30.58ms p99=39.10ms max=44.02ms
1790182424.070 事件到画完 样本2269 无需重画4 p50=18.29ms p90=30.64ms p99=39.10ms max=44.02ms
1790182434.084 事件到画完 样本2295 无需重画4 p50=18.33ms p90=30.61ms p99=39.09ms max=44.02ms
1790182444.098 事件到画完 样本2322 无需重画4 p50=18.31ms p90=30.61ms p99=39.08ms max=44.02ms
1790182454.337 事件到画完 样本2352 无需重画4 p50=18.17ms p90=30.61ms p99=39.10ms max=44.02ms
1790182464.399 事件到画完 样本2378 无需重画4 p50=18.17ms p90=30.60ms p99=39.13ms max=44.02ms
1790182474.552 事件到画完 样本2405 无需重画4 p50=18.18ms p90=30.69ms p99=39.21ms max=44.02ms
1790182484.555 事件到画完 样本2431 无需重画4 p50=18.18ms p90=30.60ms p99=39.18ms max=44.02ms
1790182494.718 事件到画完 样本2454 无需重画4 p50=18.19ms p90=30.76ms p99=39.16ms max=44.02ms
1790182504.763 事件到画完 样本2482 无需重画4 p50=18.28ms p90=30.61ms p99=39.13ms max=44.02ms
1790182515.075 事件到画完 样本2501 无需重画4 p50=18.29ms p90=30.61ms p99=39.11ms max=44.02ms
1790182525.090 事件到画完 样本2530 无需重画4 p50=18.29ms p90=30.63ms p99=39.11ms max=44.02ms
1790182535.384 事件到画完 样本2558 无需重画4 p50=18.26ms p90=30.60ms p99=39.11ms max=44.02ms
1790182546.183 事件到画完 样本2585 无需重画4 p50=18.37ms p90=30.63ms p99=39.13ms max=44.27ms
1790182556.415 事件到画完 样本2611 无需重画4 p50=18.32ms p90=30.61ms p99=39.11ms max=44.27ms
1790182567.117 事件到画完 样本2634 无需重画4 p50=18.38ms p90=30.63ms p99=39.22ms max=44.27ms
1790182577.854 事件到画完 样本2659 无需重画4 p50=18.28ms p90=30.60ms p99=39.21ms max=44.27ms
1790182588.016 事件到画完 样本2684 无需重画4 p50=18.28ms p90=30.60ms p99=39.21ms max=44.27ms
1790182598.048 事件到画完 样本2707 无需重画4 p50=18.19ms p90=30.60ms p99=39.21ms max=44.27ms
1790182608.088 事件到画完 样本2735 无需重画4 p50=18.29ms p90=30.70ms p99=39.18ms max=44.27ms
1790182618.188 事件到画完 样本2765 无需重画4 p50=18.33ms p90=30.70ms p99=39.15ms max=44.27ms
1790182628.204 事件到画完 样本2796 无需重画4 p50=18.28ms p90=30.62ms p99=39.21ms max=44.27ms
1790182638.318 事件到画完 样本2822 无需重画4 p50=18.38ms p90=30.63ms p99=39.19ms max=44.27ms
1790182648.322 事件到画完 样本2851 无需重画4 p50=18.32ms p90=30.61ms p99=39.21ms max=44.27ms
1790182658.401 事件到画完 样本2882 无需重画4 p50=18.23ms p90=30.61ms p99=39.21ms max=44.27ms
1790182668.484 事件到画完 样本2909 无需重画4 p50=18.18ms p90=30.62ms p99=39.22ms max=44.27ms
1790182678.502 事件到画完 样本2933 无需重画4 p50=18.33ms p90=30.73ms p99=39.22ms max=44.27ms
1790182688.777 事件到画完 样本2962 无需重画4 p50=18.31ms p90=30.63ms p99=39.21ms max=44.27ms
1790182698.833 事件到画完 样本2988 无需重画4 p50=18.32ms p90=30.62ms p99=39.22ms max=44.27ms
1790182709.011 事件到画完 样本3011 无需重画4 p50=18.33ms p90=30.60ms p99=39.22ms max=44.27ms
1790182719.014 事件到画完 样本3035 无需重画4 p50=18.28ms p90=30.58ms p99=39.22ms max=44.27ms
1790182729.076 事件到画完 样本3062 无需重画4 p50=18.32ms p90=30.58ms p99=39.21ms max=44.27ms
1790182739.094 事件到画完 样本3087 无需重画4 p50=18.39ms p90=30.59ms p99=39.21ms max=44.27ms
1790182749.404 事件到画完 样本3114 无需重画4 p50=18.39ms p90=30.59ms p99=39.20ms max=44.27ms
1790182759.619 事件到画完 样本3143 无需重画4 p50=18.29ms p90=30.58ms p99=39.17ms max=44.27ms
1790182769.687 事件到画完 样本3165 无需重画4 p50=18.37ms p90=30.56ms p99=39.15ms max=44.27ms
1790182779.771 事件到画完 样本3188 无需重画4 p50=18.42ms p90=30.52ms p99=39.13ms max=44.27ms
1790182789.954 事件到画完 样本3211 无需重画4 p50=18.40ms p90=30.55ms p99=39.11ms max=44.27ms
1790182800.045 事件到画完 样本3237 无需重画4 p50=18.44ms p90=30.53ms p99=39.11ms max=44.27ms
1790182810.070 事件到画完 样本3267 无需重画4 p50=18.33ms p90=30.51ms p99=39.11ms max=44.27ms
1790182820.077 事件到画完 样本3295 无需重画4 p50=18.37ms p90=30.48ms p99=39.11ms max=44.27ms
1790182830.204 事件到画完 样本3324 无需重画4 p50=18.28ms p90=30.48ms p99=39.11ms max=44.27ms
1790182840.345 事件到画完 样本3350 无需重画4 p50=18.17ms p90=30.47ms p99=39.11ms max=44.27ms
1790182850.356 事件到画完 样本3376 无需重画4 p50=18.26ms p90=30.51ms p99=39.11ms max=44.27ms
1790182860.556 事件到画完 样本3405 无需重画4 p50=18.18ms p90=30.56ms p99=39.11ms max=44.27ms
